CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
14000098, iMAX,2 MB,SEJ,NOMBRE EN TRAMITE,MATUTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZU—IGA,TLAJOMULCO DE ZU—IGA,COL. DEL ROBLE ZONA 198 SECTOR 26,45640,103°23'58.20, 20°30'18.00 ,ACTIVO
 105SP, iMAX,2 MB,GOB,,N/D,,SUR,ZAPOTLAN EL GRANDE,,CONOCIDO,,103 27 51.4  ,19 42 9.7 ,ACTIVO
 108SP, iMAX,2 MB,GOB,N/D,N/D,N/D,COSTA ORTE,PUERTO VALLARTA,N/D,CONOCIDO,N/D,105 13 32.5  ,20 38 53.7 ,ACTIVO
021IEE, iMAX,2 MB,BIBLIOTECAS,N/D,N/D,N/D,CIENEGA,OCOTLAN,N/D,N/D,N/D,102 46 30.30  ,20 21 46.8 ,ACTIVO
057IEE, iMAX,2 MB,IEEA,N/D,N/D,N/D,COSTA SUR,VILLA PURIFICACIÓN,N/D,ABASOLO # 174  COL. CENTRO C.P. 48800 ,48800,-104.6028806,19.7196083,ACTIVO
102IDEFT, iMAX,2 MB,IDEFT,ARANDAS,"L a V 9:00 A 21:30S 9:00 A 14:00",N/D,ALTOS SUR,ARANDAS,ARANDAS,"ANT. CAM. A BETANIA S/NCOL. LOS AVIONES C.P. 47180",N/D,-102.350567,20.673928,ACTIVO
103IDEFT, iMAX,2 MB,IDEFT,AUTLAN DE AVARRO,"L a V 9:00 A 17:00 S 9:00 A 14:00",N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,"12 DE OCTUBRE O. 247COL. LAS AMERICASC.P. 48900",N/D,104°21'35.15, 19°45'33.34 ,ACTIVO
109BI, iMAX,2 MB,SC,CASA DE LA CULTURA JESUS MARIA,N/D,N/D,ALTOS SUR,JESUS MARIA,JESUS MARIA,CONSTITUCIÓN # 56,N/D,-102.222694,20.605666,ACTIVO
123IEE, iMAX,2 MB,INEEJAD,MEXTICACAN,N/D,N/D,ALTOS SUR,MEXTICACAN,MEXTICACAN,"MORELOS # 1 COL. CENTRO C.P 47340, MEXTICACAN, MEXTICACAN, C.P. ",47340,102°10'44.08, 21° 1'10.27 ,ACTIVO
131BI, iMAX,2 MB,BIBLIOTECAS,N/D,N/D,N/D,CIENEGA,OCOTLAN,N/D,HIDALGO # 9,N/D,-102.727756,20.407214,ACTIVO
13BI, iMAX,2 MB,GOB,N/D,N/D,N/D,VALLES,AMECA,N/D,N/D,N/D,104 2 36.9  ,20 33 16.3 ,ACTIVO
1400016H, iMAX,2 MB,SEJ,BENEMERITA Y CENTENARIA ESCUELA ORMAL DE JALISCO,N/D,NORMALES,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA PROLONGACION ALCALDE 1190ENTRE AVENIDA DE LOS MAESTROS Y CARLOS PEREYRA,44270,103°20'49.30, 20°41'42.00 ,ACTIVO
1400032G, iMAX,2 MB,SEJ,ESCUELA ORMAL EXPERIMENTAL,N/D,NORMALES,NORTE,COLOTLAN,COLOTLAN,AVENIDA DEL MAESTRO 50,46200,103°16'20.39, 22° 6'25.33 ,ACTIVO
1400063F, iMAX,2 MB,SEJ,ESCUELA ORMAL PARA EDUCADORAS DE UNION DE TULA,N/D,NORMALES,SIERRA DE AMULA,UNIÓN DE TULA,UNION DE TULA,AVENIDA MEXICO ORTE #345,48000,104°15'49.42, 19°57'41.17 ,ACTIVO
1400114A, iMAX,2 MB,SEJ,INSTITUTO TECNOLOGICO SUPERIOR DE PUERTO VALLARTA,N/D,SUPERIOR,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,COREA DEL SUR 600,48290,105°11'56.07, 20°39'18.18 ,ACTIVO
1400190A, iMAX,2 MB,SEJ,ESCUELA ORMAL EXPERIMENTAL,N/D,NORMALES,VALLES,AMECA,SAN ANTONIO MATUTE,NI—OS HEROES 13,46700,103°57'10.48, 20°33'48.61 ,ACTIVO
1400227E, iMAX,2 MB,SEJ,SANTA QUITERIA,MATUTINO,PREESCOLAR,VALLES,EL ARENAL,SANTA QUITERIA," RANCHO LA CANTERA, CALLE TRES CRUCES #600",45350,103°40'24.65, 20°47'59.96 ,ACTIVO
1400334G, iMAX,2 MB,SEJ,SANTA ANA DE ARRIBA,MATUTINO,PREESCOLAR,ALTOS SUR,SAN MIGUEL EL ALTO,SANTA ANA DE ARRIBA,CONOCIDO SANTA ANA DE ARRIBA,47140,-102.4180556,21.095,ACTIVO
1400335K, iMAX,2 MB,SEJ,SIN AGUA,MATUTINO,PREESCOLAR,ALTOS SUR,SAN MIGUEL EL ALTO,SINAGUA,CONOCIDO SINAGUA,47140,-102.1663333,20.9760833,ACTIVO
1400491H, iMAX,2 MB,SEJ,CA—ADA GRANDE,MATUTINO,PREESCOLAR,SIERRA OCCIDENTAL,CUAUTLA,CA_ADA GRANDE,CONOCIDO,48150,-104.3965667,20.2572444,ACTIVO
1400543G, iMAX,2 MB,SEJ,FRANCISCO I MADERO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LA VIRGEN,CONOCIDO,47400,-101.9776167,21.3616472,ACTIVO
1400580C, iMAX,2 MB,SEJ,COCUASCO,MATUTINO,PREESCOLAR,NORTE,CHIMALTITAN,COCUASCO,CONOCIDO,46300,103°38'39.48, 21°50'4.03 ,ACTIVO
1400621G, iMAX,2 MB,SEJ,OJO DE AGUA DE CARDOS,MATUTINO,PREESCOLAR,NORTE,VILLA GUERRERO,OJO DE AGUA DE CARDOS (OJO DE AGUA),CONOCIDO,46100,-103.5629389,21.9902278,ACTIVO
1400860B, iMAX,2 MB,SEJ,LAZARO CARDENAS,MATUTINO,PREESCOLAR,ALTOS ORTE,UNIÓN DE SAN ANTONIO,SAN IGNACIO,CONOCIDO,47570,-102.030675,21.1802667,ACTIVO
1400936J, iMAX,2 MB,SEJ,TERRERO EL,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,EL TERRERO,CONOCIDO,47400,-101.8723361,21.3333139,ACTIVO
1401089G, iMAX,2 MB,SEJ,ORILLA DEL AGUA,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LA ORILLA DEL AGUA,CONOCIDO,47470,-101.9528944,21.3847028,ACTIVO
1401188D, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,COSTA SUR,AUTLAN DE AVARRO,SAN FRANCISCO DE ARRIBA,CONOCIDO,48900,-104.3465639,19.8400417,ACTIVO
1401212K, iMAX,2 MB,SEJ,LA TARJEA,MATUTINO,PREESCOLAR,CENTRO,CUQUIO,ATARJEA,CONOCIDO EN LA RANCHERIA LA TARJEA,45480,-103.0971944,20.812,ACTIVO
1401369F, iMAX,2 MB,SEJ,CABALLERIAS DE GUADALUPE,MATUTINO,SECUNDARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,CABALLERIAS,"DETRAS DE LA IGLESIA DE CABALLERIAS, CAMINO A EL OJO DE AGUA, EL OCOTE Y HACIA CABALLERIAS",47000,102°13'9.50, 21° 7'28.40 ,ACTIVO
1401403D, iMAX,2 MB,SEJ,LA VIRGEN,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,LA VIRGEN,CONOCIDO,47470,-101.9776167,21.3616472,ACTIVO
1401420G, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,AVENIDA DEL MAESTRO 5,46200,-103.2721778,22.1073417,ACTIVO
1401423H, iMAX,2 MB,SEJ,VENUSTIANO CARRANZA,VESPERTINO,PRIMARIA,NORTE,COLOTLAN,COLOTLAN,CENTENARIO,46200,-103.2624556,22.1187611,ACTIVO
1401423H, iMAX,2 MB,SEJ,USAER,MATUTINO,ESPECIAL,NORTE,COLOTLAN,COLOTLAN,CENTENARIO,46200,-103.2624556,22.1187611,ACTIVO
1401423H, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PRIMARIA,NORTE,COLOTLAN,COLOTLAN,CENTENARIO,46200,-103.2624556,22.1187611,ACTIVO
1401425E, iMAX,2 MB,SEJ,MA GUADALUPE DIAZ,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,CUAUHTEMOC 93,46200,-103.260125,22.1143917,ACTIVO
1401426X, iMAX,2 MB,SEJ,VALENTIN GOMEZ FARIAS,MATUTINO,PRIMARIA,NORTE,COLOTLAN,COLOTLAN,VALENTIN GOMEZ FARIAS 16,46200,-103.2732583,22.1155778,ACTIVO
1401427B, iMAX,2 MB,SEJ,20 DE OVIEMBRE,MATUTINO,PRIMARIA,NORTE,COLOTLAN,COLOTLAN,GUERRERO 105,46200,-103.2677944,22.1083722,ACTIVO
1401427B, iMAX,2 MB,SEJ,SOR JUANA INES DE LA CRUZ,VESPERTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,GUERRERO 105,46200,-103.2677944,22.1083722,ACTIVO
1401428F, iMAX,2 MB,SEJ,PREPARATORIA REGIONAL DE COLOTLAN,MATUTINO,BACHILLERATO,NORTE,COLOTLAN,COLOTLAN,HIDALGO 11,46200,-103.2517194,22.1159167,ACTIVO
1401428F, iMAX,2 MB,SEJ,ESCUELA PREPARATORIA REGIONAL DE COLOTLAN,VESPERTINO,BACHILLERATO,NORTE,COLOTLAN,COLOTLAN,HIDALGO 11,46200,-103.2517194,22.1159167,ACTIVO
1401428F, iMAX,2 MB,SEJ,PREPARATORIA REGIONAL DE COLOTLAN,MATUTINO,BACHILLERATO,NORTE,COLOTLAN,COLOTLAN,HIDALGO 11,46200,-103.2517194,22.1159167,ACTIVO
1401429J, iMAX,2 MB,SEJ,RAMON LOPEZ VELARDE,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,INDEPENDENCIA 1 1,46200,-103.2719222,22.1150361,ACTIVO
1401432F, iMAX,2 MB,SEJ,NI—OS HEROES,MATUTINO,PRIMARIA,NORTE,COLOTLAN,COLOTLAN,JUAREZ 84,46200,-103.2634417,22.1124778,ACTIVO
1401438H, iMAX,2 MB,SEJ,RAMON GARCIA RUIZ,MATUTINO,SECUNDARIA,NORTE,COLOTLAN,COLOTLAN,PROLONGACION CUAUHTEMOC,46200,-103.2625472,22.1148667,ACTIVO
1401440K, iMAX,2 MB,SEJ,FRANCISCO GABILONDO SOLER,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,SAN LUIS 20,46200,-103.2567806,22.1130139,ACTIVO
1401456D, iMAX,2 MB,SEJ,JUAN JOSE ARREOLA,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,CANOAS DE ARRIBA,EL MEZQUITE,46200,-103.2482083,22.1260556,ACTIVO
1401518E, iMAX,2 MB,SEJ,USAER SANTA MARIA DE LOS ANGELES,MATUTINO,ESPECIAL,NORTE,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,AVENIDA DE LA JUVENTUD,46240,-103.2221917,22.1776556,ACTIVO
1401518E, iMAX,2 MB,SEJ,BELISARIO DOMINGUEZ,MATUTINO,PRIMARIA,NORTE,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,AVENIDA DE LA JUVENTUD,46240,-103.2221917,22.1776556,ACTIVO
1401519X, iMAX,2 MB,SEJ,Fernando Montes de oca,,,NORTE,Santa María de los Angeles,SANTA MARIA DE LOS ANGELES,"AVENIDA DE LA JUVENTUD 1 (ITURBIDE, Y RIO CHIQUITO)",,-103.2223906,22.1770832,ACTIVO
1401522E, iMAX,2 MB,SEJ,HEROES DE CHAPULTEPEC,MATUTINO,PRIMARIA,NORTE,SANTA MARIA DE LOS ANGELES,BARRIO DE TAPIAS,HEROES 7,46240,-103.2282083,22.1854972,ACTIVO
1401525F, iMAX,2 MB,SEJ,NUNUXI,MATUTINO,PREESCOLAR,NORTE,SANTA MARIA DE LOS ANGELES,EL FRAILE,HIDALGO 15,46240,-103.2401528,22.2677167,ACTIVO
1401527C, iMAX,2 MB,SEJ,EMSAD SANTA MARIA DE LOS ANGELES,VESPERTINO,BACHILLERATO,NORTE,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,HIDALGO 46,46240,-103.2252139,22.1714667,ACTIVO
1401527C, iMAX,2 MB,SEJ,LUIS MANUEL ROJAS,MATUTINO,PRIMARIA,NORTE,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,HIDALGO 46,46240,-103.2252139,22.1714667,ACTIVO
1401529K, iMAX,2 MB,SEJ,CIHUALPILLI IXTLAMATINI,MATUTINO,PREESCOLAR,NORTE,SANTA MARIA DE LOS ANGELES,BARRIO DE TAPIAS,LOPEZ COTILLA,46240,-103.2282083,22.1854972,ACTIVO
1401550C, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PREESCOLAR,NORTE,VILLA GUERRERO,VILLA GUERRERO,20 DE OVIEMBRE,46100,-103.5951917,21.9886583,ACTIVO
1401552K, iMAX,2 MB,SEJ,ESTEFANIA CASTA—EDA,MATUTINO,PREESCOLAR,NORTE,VILLA GUERRERO,VILLA GUERRERO,JUVENTUD 12,46100,-103.6001833,21.9789083,ACTIVO
1401554H, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,MATUTINO,PRIMARIA,NORTE,VILLA GUERRERO,VILLA GUERRERO,PINO SUAREZ,46100,-103.59405,21.9835611,ACTIVO
1401556E, iMAX,2 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PRIMARIA,NORTE,VILLA GUERRERO,SANTA RITA,SANTA RITA,46100,-103.6034944,21.9971722,ACTIVO
1401557X, iMAX,2 MB,SEJ,USAER VILLA GUERRERO,MATUTINO,ESPECIAL,NORTE,VILLA GUERRERO,VILLA GUERRERO,VALLARTA,46100,-103.5987194,21.9864139,ACTIVO
1401557X, iMAX,2 MB,SEJ,IGNACIO RAMIREZ,MATUTINO,PRIMARIA,NORTE,VILLA GUERRERO,VILLA GUERRERO,VALLARTA,46100,-103.5987194,21.9864139,ACTIVO
1401607K, iMAX,2 MB,SEJ,NUEVA REFORMA,MATUTINO,PRIMARIA,NORTE,CHIMALTITAN,COCUASCO,CONOCIDO,46300,-103.6437722,21.8352333,ACTIVO
1401656F, iMAX,2 MB,SEJ,21 DE MARZO,MATUTINO,PRIMARIA,NORTE,VILLA GUERRERO,OJO DE AGUA DE CARDOS (OJO DE AGUA),CONOCIDO,46100,-103.5629389,21.9902278,ACTIVO
1401658C, iMAX,2 MB,SEJ,NETZAHUALCOYOTL,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,SANTIAGO TLATELOLCO (SANTIAGO),CONOCIDO,46200,-103.2515417,22.1413333,ACTIVO
1401681C, iMAX,2 MB,SEJ,FERNANDO MONTES DE OCA,MATUTINO,PRIMARIA,NORTE,COLOTLAN,CANOAS DE ARRIBA,CONOCIDO,46200,-103.2482083,22.1260556,ACTIVO
1401721C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,NORTE,MEZQUITIC,SAN ANDRES COHAMIATA,CONOCIDO,46040,-104.2412889,22.1899389,ACTIVO
1401753F, iMAX,2 MB,SEJ,ANDRES QUINTANA ROO,MATUTINO,SECUNDARIA,NORTE,MEZQUITIC,EL CHALATE (LOS CHALATES),CONOCIDO,46040,-104.2810139,22.1402194,ACTIVO
1401799E, iMAX,2 MB,SEJ,MEXICO,MATUTINO,PREESCOLAR,NORTE,COLOTLAN,COLOTLAN,DOM CON,46200,-103.2743278,22.1174806,ACTIVO
1401868G, iMAX,2 MB,SEJ,JUAN CORDERO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LAGOS DE MORENO,ANDRES SOLA,47470,-101.97295,21.3213694,ACTIVO
1401944J, iMAX,2 MB,SEJ,MOISES VEGA KEGEL,VESPERTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,CA_ADA DE RICOS (TEPETATES),MIGUEL HIDALGO O. 20,47443,-101.8801167,21.3649806,ACTIVO
1401957B, iMAX,2 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LA PALMA,SAN JOSE 59,47400,-101.8290028,21.4060889,ACTIVO
1401963J, iMAX,2 MB,SEJ,TIERRA Y LIBERTAD,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,PLAN DE LOS RODRIGUEZ,22 DE JUNIO,47420,-101.9381722,21.3224806,ACTIVO
1401975X, iMAX,2 MB,SEJ,FRANCISCO I MADERO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,GRANADILLAS (LA COLONIA),LA COLONIA,47400,-101.9017833,21.3805361,ACTIVO
1401976B, iMAX,2 MB,SEJ,SOR JUANA INES DE LA CRUZ,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,EL BAJIO (LA LAGUNA),LA LAGUNA 1,47400,-101.9506722,21.3802583,ACTIVO
1401977F, iMAX,2 MB,SEJ,MANUEL GOMEZ MORIN,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL JARALITO,EMILIANO ZAPATA,47420,-101.8059472,21.4447,ACTIVO
1402011K, iMAX,2 MB,SEJ,LEONA VICARIO,MATUTINO,PREESCOLAR,ALTOS ORTE,SAN DIEGO DE ALEJANDRIA,SAN DIEGO DE ALEJANDRIA,GARDENIAS,47590,-102.0010472,20.9961278,ACTIVO
1402015E, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,VESPERTINO,PRIMARIA,ALTOS ORTE,SAN DIEGO DE ALEJANDRIA,LA CAMPA_A DE MORELOS (LA CAMPA_A),AVENIDA REVOLUCION,47590,-101.9851167,21.0036056,ACTIVO
1402130A, iMAX,2 MB,SEJ,EMILIANO ZAPATA,VESPERTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,LOMA DEL AIRE (LOMITA DEL AIRE),EMILIANO ZAPATA,47580,-101.9101167,21.1563778,ACTIVO
1402131E, iMAX,2 MB,SEJ,CONSTITUCION,MATUTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,ESTACION PEDRITO,AVENIDA HIDALGO 17,47580,-101.9142833,21.1349889,ACTIVO
1402179A, iMAX,2 MB,SEJ,NI—OS HEROES,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,SAN ISIDRO DE ABAJO,CONOCIDO,47400,-101.9048389,21.3994222,ACTIVO
1402229C, iMAX,2 MB,SEJ,VALENTIN GOMEZ FARIAS,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,JARITAS,CONOCIDO,47400,-101.9978972,21.3124833,ACTIVO
1402239E, iMAX,2 MB,SEJ,JOSE ROSAS MORENO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,BAJIO DE ALVAREZ,CONOCIDO,47472,-101.98095,21.3177583,ACTIVO
1402256H, iMAX,2 MB,SEJ,MARIANO ABASOLO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LAS ALFALFAS,CONOCIDO,47400,-101.91095,21.329425,ACTIVO
1402257A, iMAX,2 MB,SEJ,GUADALUPE VICTORIA,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LA CANTERA (LA CANTERA DE LOS MORENO),CONOCIDO,47536,-102.0201194,21.3441472,ACTIVO
1402261A, iMAX,2 MB,SEJ,IGNACIO ALLENDE,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LA ISLA,CONOCIDO,47420,-101.9231722,21.3955333,ACTIVO
1402267C, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LOMA DE MENA,CONOCIDO,47490,-102.0423417,21.3285917,ACTIVO
1402268G, iMAX,2 MB,SEJ,PENSADOR MEXICANO,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LOMA DE PRADOS,CONOCIDO,47400,-101.96595,21.3135944,ACTIVO
1402269K, iMAX,2 MB,SEJ,JESUS MORELOS GARZA,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LOMA DE VELOCES,CONOCIDO,47400,-101.8865056,21.4299778,ACTIVO
1402274D, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,PASO DE LA MESA,CONOCIDO,47400,-101.9992861,21.2774833,ACTIVO
1402304B, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,LOS CHARCOS,CONOCIDO,47000,-102.3734611,21.2210972,ACTIVO
1402306J, iMAX,2 MB,SEJ,ARTICULO 123 CONSTITUCIONAL,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,ESTANCIA VIEJA DE ABAJO,CONOCIDO LA ESTANCIA VIEJA DE ABAJO ,47000,-102.3078889,21.1914167,ACTIVO
1402306J, iMAX,2 MB,SEJ,ESTANCIA VIEJA DE ABAJO,MATUTINO,PREESCOLAR,ALTOS ORTE,SAN JUAN DE LOS LAGOS,ESTANCIA VIEJA DE ABAJO,CONOCIDO LA ESTANCIA VIEJA DE ABAJO ,47000,-102.3078889,21.1914167,ACTIVO
1402335A, iMAX,2 MB,SEJ,MEXICO,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,SANFANDILA,CONOCIDO,47400,-101.8501139,21.4427556,ACTIVO
1402342B, iMAX,2 MB,SEJ,EMILIANO ZAPATA,VESPERTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,SAN IGNACIO,CONOCIDO,47570,-102.030675,21.1802667,ACTIVO
1402346G, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,MATUTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,EL JARALITO,CONOCIDO,47570,-102.00595,21.0841583,ACTIVO
1402347K, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,LOMA DE SOTELOS,CONOCIDO,47580,-101.9470611,21.1502667,ACTIVO
1402363J, iMAX,2 MB,SEJ,BARTOLOME DE OLMEDO,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,EL LLANO DE CABALLERIAS,CONOCIDO LLANO DE CABALLERIAS,47000,-102.23475,21.145,ACTIVO
1402366K, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,EL TECOLOTE,CONOCIDO EL TECOLOTE,47000,-102.2459444,21.2008333,ACTIVO
1402378J, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,QUINTA SAN FRANCISCO,CONOCIDO,47400,-101.9120611,21.4094222,ACTIVO
1402386D, iMAX,2 MB,SEJ,JAIME TORRES BODET,MATUTINO,PRIMARIA,ALTOS ORTE,UNIÓN DE SAN ANTONIO,CHURINTZIO (CHURINCIO),CONOCIDO,47570,-102.0145639,21.2630389,ACTIVO
1402390D, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL TERRERO,CONOCIDO,47400,-101.8723361,21.3333139,ACTIVO
1402404C, iMAX,2 MB,SEJ,RAFAEL RAMIREZ,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,BUENAVISTA (SAN MIGUEL),CONOCIDO,47400,-101.9645611,21.3916444,ACTIVO
1402410K, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL REFUGIO (EL MAGUEY),CONOCIDO,47470,-101.7956694,21.4288667,ACTIVO
1402423C, iMAX,2 MB,SEJ,ABRAZO DE ACATEMPAN,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL RANCHITO,CONOCIDO,47500,-101.9903972,21.4244222,ACTIVO
1402427H, iMAX,2 MB,SEJ,PIPILA,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,CORRAL DE PIEDRA,CONOCIDO,47000,-102.3873889,21.1675,ACTIVO
1402452E, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL CONEJO,CONOCIDO,47400,-101.8698389,21.4660861,ACTIVO
1402454B, iMAX,2 MB,SEJ,GABRIEL FLORES,MATUTINO,PREESCOLAR,ALTOS ORTE,UNIÓN DE SAN ANTONIO,LA ROSA DE CASTILLA (EJIDO JARAMILLO DE ABAJO),CONOCIDO,47580,-101.7781667,21.2105417,ACTIVO
1402464D, iMAX,2 MB,SEJ,FEDERICO FROEBEL,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,EL MESONCITO,CONOCIDO,47400,-101.8528917,21.4166444,ACTIVO
1402473B, iMAX,2 MB,SEJ,FRANCISCO JAVIER MINA,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,DIECIOCHO DE MARZO,CONOCIDO,47510,-101.7990028,21.4816417,ACTIVO
1402490E, iMAX,2 MB,SEJ,20 DE OVIEMBRE,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,EL BAJIO (LA LAGUNA),CONOCIDO,47400,-101.9506722,21.3802583,ACTIVO
1402505H, iMAX,2 MB,SEJ,VICENTE GUERRERO,MATUTINO,SECUNDARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,LAS VERDOLAGAS,CONOCIDO,47000,-102.4167944,21.3341472,ACTIVO
1402517G, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,EL REFUGIO (EL MAGUEY),CONOCIDO,47470,-101.7956694,21.4288667,ACTIVO
1402547B, iMAX,2 MB,SEJ,MARIANO AZUELA,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,JARITAS,CONOCIDO,47400,-101.9978972,21.3124833,ACTIVO
1402559A, iMAX,2 MB,SEJ,RICARDO FLORES MAGON,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL SOYATE,CONOCIDO,47400,-101.8928944,21.507475,ACTIVO
1402568J, iMAX,2 MB,SEJ,GRAL. JUAN PABLO ANAYA HERMOSILLO,MATUTINO,SECUNDARIA,ALTOS SUR,ACATIC,ACATIC,"ESCUELA DIGNA 810,COL Y PROVISTE PREPA",45470,-102.911,20.7954,ACTIVO
1402571F, iMAX,2 MB,SEJ,ABRAHAM GONZALEZ RIVERA,MATUTINO,PRIMARIA,ALTOS SUR,ACATIC,ACATIC,GENERAL PABLO RODRIGUEZ 239,45470,-102.9152778,20.7819444,ACTIVO
1402572J, iMAX,2 MB,SEJ,MANUEL LÓPEZ COTILLA,MATUTINO,SECUNDARIA,ALTOS SUR,ACATIC,ACATIC,GENERAL PABLO RODRIGUEZ 246 ,45470,-102.91,20.7759,ACTIVO
